"76","毎","マイ","ごと","каждый (день и т п)","5","80","Г2"
"77","気","キ, ケ","き","воздух, пар, атмосфера, чувства, настроение","5","84","Г1"
"78","水","スイ","みず ","вода","5","85","Г1"
"79","火","カ","ひ  ","огонь","5","86","Г1"
"80","父","フ","ちち","отец","5","88","Г2"
"81","生","セイ. ショウ","い(きる) - жить, быть живым, い(かす) - оживлять, оставлять в живых, い(ける)- ставить цветы в вазу, う(まれる) - рождаться,  う(む) - рождать, приносить, なま - сырой, необработанный","жить, быть живым, сырой, необработанный","5","100","Г1"
"82","男","ダン, ナン","おとこ, お","мужчина","5","102","Г1"
"83","白","ハク, ビャク","しろ - белый цвет, しら-, しろ(い) - белый","белый","5","106","Г1"
"84","百","ヒャク, ビャク","もも","сто","5","106","Г1"
"85","目","モク, ボク","め  ","глаз(а), суффикс порядковых числительных","5","109","Г1"
"86","知","チ","し(る)","знать, извещать","5","111","Г2"
"87","社","シャ","やしろ","фирма, синтоистское святилище","5","113","Г2"
"88","私","シ","わたくし, わたし","я, частный","5","115","Г6"
"89","空","クウ","そら - небо, あ(く)","пустой, небо","5","116","Г1"
"90","立","リツ ","た(つ),  た(てる)","стоять, ставить","5","117","Г1"
"91","紙","シ","かみ","бумага","5","120","Г2"
"92","耳","ジ","みみ","ухо","5","128","Г1"
"93","聞","ブン, モン","き(く) - слышать, спрашивать, き(こえる) - быть слышным ,звучать, раздаваться","слышать, спрашивать","5","128","Г2"
"94","花","カ, ケ","はな","цветок","5","140","Г1"
"95","行","コウ, ギョウ - строка (вертикальная)","い(く) - идти, ходить, уходить, уезжать, ゆ(く) - тж, おこな(う) -  совершать, осуществлять","идти, ходить, уходить, уезжать","5","144","Г2"
"96","西","セイ, サイ, ス","にし","Запад","5","146","Г2"
"97","見","ケン","み(る) - смотреть, видеть, считать, полагать, み(える) - виднеться, показываться, выглядеть, み(せる) - показывать","видеть, виднеться","5","147","Г2"
"98","言","ゲン, ゴン","い(う)","говорить, слово, язык","5","149","Г2"
"99","話","ワ","はな(す) - говорить, рассказывать, はなし - разговор, беседа","разговаривать, рассказывать, говорить","5","149","Г2"
"100","語","ゴ","かた(る) - говорить, рассказывать","слово, говорить","5","149","Г2"
"101","読","ドク ,トク, トウ","よ(む)","читать","5","149","Г2"
"102","買","バイ","か(う)","покупать","5","154","Г2"
"103","赤","セキ, シャク","あか ","красный","5","155","Г1"
"104","走","ソウ","はし(る)","бежать, ехать (о машине)","5","156","Г2"
"105","足","ソク","あし","нога","5","157","Г1"
"106","車","シャ","くるま","машина, повозка","5","159","Г1"
"107","近","キン  ","ちか(い)","близкий","5","162","Г2"
"108","週","シュウ","","неделя","5","162","Г2"
"109","道","ドウ  ","みち","дорога, путь","5","162","Г2"
"110","金","キン, コン, ゴン","かね ","золото, металл, деньги","5","167","Г1"
"111","銀","ギン","しろがね","серебро","5","167","Г3"
"112","長","チョウ - в соч. старший, начальник","なが(い) - длинный, долгий","длинный","5","168","Г2"
"113","間","カン, ケン","あいだ - промежуток, расстояние, период, между, ま - тж. комната","промежуток, интервал","5","169","Г2"
"114","雨","ウ","あめ, あま","дождь","5","173","Г1"
"115","電","デン","","электричество","5","173","Г2"
"116","食","ショク ","く(う) , た(べる) - есть ","еда","5","184","Г2"
"117","飲","イン ","の(む)","пить","5","184","Г3"
"118","駅","エキ","","станция","5","187","Г3"
"119","高","コウ","たか(い) - высокий, дорогой, громкий たか - количество, сумма, повышение в цене, たかまる - повышаться, たかめる - повышать","высокий, дорогой, повышать","5","189","Г2"
"120","魚","ギョ","うお, さかな","рыба","5","195","Г2"
